Particle: (-1.0, -874.9538999999813, 0.0)
Particle: (1.0, -390.8304000000054, 0.0)
Particle: (-1.0, -874.9538999999813, 0.0)
Particle: (1.0, -390.8304000000054, 0.0)
Particle: (-1.0, -874.9538999999813, 0.0)
Particle: (1.0, -390.8304000000054, 0.0)
Particle: (-1.0, -874.9538999999813, 0.0)
Particle: (1.0, -390.8304000000054, 0.0)
Particle: (-1.0, -874.9538999999813, 0.0)
Particle: (1.0, -390.8304000000054, 0.0)
Particle: (-1.0, 0.0, 0.0)
Particle: (1.0, 0.0, 0.0)
Particle: (-1.0, -874.9538999999813, 0.0)
Particle: (1.0, -390.8304000000054, 0.0)
Particle: (-1.0, -874.9538999999813, 0.0)
Particle: (1.0, -390.8304000000054, 0.0)
Particle: (-1.0, -874.9538999999813, 0.0)
Particle: (1.0, -390.8304000000054, 0.0)
Particle: (-1.0, -874.9538999999813, 0.0)
Particle: (1.0, -390.8304000000054, 0.0)
Particle: (-1.0, -874.9538999999813, 0.0)
Particle: (1.0, -390.8304000000054, 0.0)
Particle: (1.0, -1757.8539000000255, 0.0)
Particle: (1.0, -1757.8539000000255, 0.0)
Particle: (1.0, -1757.8539000000255, 0.0)
Particle: (1.0, -1757.8539000000255, 0.0)
Particle: (1.0, -1757.8539000000255, 0.0)
Particle: (2.0, -1756.8539000000253, 1.0)
Particle: (1.0, -1757.8539000000255, 0.0)
Particle: (201.49999999999284, -1757.8539000000255, 0.0)
Particle: (401.99999999998573, -1757.8539000000255, 0.0)
Particle: (1.0, -1756.8539000000253, 1.0)
Particle: (0.0, -1757.8539000000255, 0.0)
Particle: (1.0, -1756.8539000000253, 1.0)
Particle: (0.0, -1757.8539000000255, 0.0)
Particle: (1.0, -1756.8539000000253, 1.0)
Particle: (0.0, -1757.8539000000255, 0.0)
Particle: (1.0, -1756.8539000000253, 1.0)
Particle: (0.0, -1757.8539000000255, 0.0)
Particle: (1.0, -1756.8539000000253, 1.0)
Particle: (0.0, -1757.8539000000255, 0.0)
Particle: (1.0, -1756.8539000000253, 1.0)
Particle: (0.0, -1757.8539000000255, 0.0)
Particle: (1.0, -1756.8539000000253, 1.0)
Particle: (0.0, -1757.8539000000255, 0.0)
Particle: (1.0, -1756.8539000000253, 1.0)
Particle: (0.0, -1757.8539000000255, 0.0)
Particle: (1.0, -1756.8539000000253, 1.0)
Particle: (0.0, -1757.8539000000255, 0.0)
Particle: (1.0, -1756.8539000000253, 1.0)
Particle: (0.0, -1757.8539000000255, 0.0)
Particle: (1.0, -1756.8539000000253, 1.0)
Particle: (0.0, -1757.8539000000255, 0.0)
Particle: (1.0, -1756.8539000000253, 1.0)
Particle: (0.0, -1757.8539000000255, 0.0)
Particle: (1.0, -1757.8539000000255, 0.0)
Particle: (2.0, -1757.8539000000255, 0.0)
Particle: (3.0, -1757.8539000000255, 0.0)
Particle: (1.0, -1756.8539000000253, 1.0)
Particle: (0.0, -1757.8539000000255, 0.0)
